_1,_2,_3,_4
%C3%80_cause_de_l'automne,"[""Work""]",Work,-720.612
%C3%89lisabeth_Marguerite_d'Orl%C3%A9ans,"[""Person""]",Person,-457.515
%C3%89tienne_N'tsunda,"[""Person""]",Person,-251.837
'74%E2%80%93'75,"[""Work""]",Work,-241.134
'74_Jailbreak,"[""Work""]",Work,-709.01
'Allo_'Allo!,"[""Work""]",Work,-903.876
'Alqama_ibn_'Abada,"[""Agent"",""Person"",""other""]",other,-1323.364
'Bout_It,"[""Work""]",Work,-583.011
'Moteng,"[""Place""]",Place,-128.624
'Ot_'n'_Sweaty,"[""Work""]",Work,-1314.395
"'The_Half_of_It,_Dearie'_Blues","[""Work""]",Work,-262.755
'Tis,"[""Work""]",Work,-282.266
't_Koetshuis,"[""Place""]",Person,-1306.346
(Baby_I've_Got_You)_On_My_Mind,"[""Work""]",Work,-332.035
(Can't_Live_Without_Your)_Love_and_Affection,"[""Work""]",Work,-924.378
(I'm_Settin')_Fancy_Free,"[""Work""]",Work,-611.903
(If_You_Can't_Sing_It)_You'll_Have_to_Swing_It_(Mr._Paganini),"[""Work""]",Work,-900.879
+Laburnocytisus_'Adamii',"[""Species""]",Species,-1059.579
"1,1'-Bi-2-naphthol","[""ChemicalSubstance""]",other,-535.5
14th_King's_Hussars,"[""Organisation""]",Person,-241.533
18th_King_Edward's_Own_Cavalry,"[""Organisation""]",Person,-379.849
1903%E2%80%9304_Columbia_Lions_men's_basketball_team,"[""SportsSeason""]",Person,-276.55
1903%E2%80%9304_Wisconsin_Badgers_men's_basketball_team,"[""SportsSeason""]",Person,-344.737
1910%E2%80%9311_Georgetown_Hoyas_men's_basketball_team,"[""SportsSeason""]",Person,-666.407
1916%E2%80%9317_Wisconsin_Badgers_men's_basketball_team,"[""SportsSeason""]",Person,-330.734
1919%E2%80%9320_Michigan_Wolverines_men's_basketball_team,"[""SportsSeason""]",Person,-2616.145
1921%E2%80%9322_Illinois_Fighting_Illini_men's_basketball_team,"[""SportsSeason""]",Person,-103.018
1924%E2%80%9325_Illinois_Fighting_Illini_men's_basketball_team,"[""SportsSeason""]",Person,-103.568
1928%E2%80%9329_Wisconsin_Badgers_men's_basketball_team,"[""SportsSeason""]",Person,-342.371
1931%E2%80%9332_Michigan_Wolverines_men's_basketball_team,"[""SportsSeason""]",Person,-586.749
1935%E2%80%9336_Illinois_Fighting_Illini_men's_basketball_team,"[""SportsSeason""]",Person,-102.909
1940%E2%80%9341_William_&_Mary_Indians_men's_basketball_team,"[""SportsSeason""]",Person,-1077.893
1943%E2%80%9344_William_&_Mary_Indians_men's_basketball_team,"[""SportsSeason""]",Person,-861.838
1948%E2%80%9349_Oklahoma_A&M_Aggies_men's_basketball_team,"[""SportsSeason""]",Person,-201.829
1953%E2%80%9354_Illinois_Fighting_Illini_men's_basketball_team,"[""SportsSeason""]",SportsSeason,-109.77
1953%E2%80%9354_St._Francis_Terriers_men's_basketball_team,"[""SportsSeason""]",Person,-764.192
1956%E2%80%9357_Georgetown_Hoyas_men's_basketball_team,"[""SportsSeason""]",Person,-1136.303
1958%E2%80%9359_Louisville_Cardinals_men's_basketball_team,"[""SportsSeason""]",Person,-828.862
1960%E2%80%9361_Michigan_Wolverines_men's_basketball_team,"[""SportsSeason""]",Person,-366.423
