Sparsity (%),Validation Accuracy (%)
13.14,69.62
26.28,69.23
39.42,68.55
52.56,67.80
65.70,66.50
71.76,65.54
72.79,66.38
73.31,66.69
73.31,66.89
73.83,66.50
74.52,67.21
75.04,66.85
75.21,67.13
75.56,67.45
75.73,67.64
76.08,68.00
76.43,67.92
76.77,67.76
77.12,68.32
77.29,68.08
77.46,68.24
77.46,68.63
78.33,67.92
78.50,68.59
78.67,68.32
78.85,69.23
79.02,68.83
79.19,68.83
79.19,68.95
79.19,68.87
79.36,69.62
79.36,69.31
79.54,69.39
79.88,69.54
79.88,69.19
80.06,69.11
80.06,69.31
80.06,69.43
80.06,69.47
80.23,69.39
80.23,70.10
80.23,69.86
80.23,69.94
80.23,70.26
80.23,70.14
80.40,70.50
80.75,69.62
80.75,69.74
80.75,69.31
80.92,69.98
80.92,70.02
81.09,70.18
81.27,69.62
81.44,70.10
81.61,70.10
81.61,70.38
81.61,69.90
81.61,70.14
81.61,70.38
81.61,70.42
81.61,70.61
81.61,71.17
81.61,70.89
81.61,70.53
81.61,70.65
81.61,70.65
81.61,70.77
81.61,71.21
81.61,70.46
81.61,71.09
81.61,71.17
81.61,71.01
81.79,71.45
81.96,70.89
81.96,70.97
81.96,71.33
81.96,71.33
81.96,71.49
81.96,71.29
81.96,71.41
82.82,71.21
83.51,70.97
84.21,71.05
84.72,70.61
85.24,70.46
85.59,69.66
85.94,69.82
86.28,68.87
86.45,67.45
86.63,66.50
86.80,66.38
86.97,64.48
87.15,64.12
87.32,63.37
87.49,62.02
87.49,61.78
87.49,62.53
87.49,62.81
87.49,63.17
87.49,63.56
